17.09.2021, 16:30:22;18;72;20;20°C;Clouds
17.09.2021, 16:35:06;18;72;20;20°C;Clouds
17.09.2021, 16:40:08;18;72;20;20°C;Clouds
17.09.2021, 16:45:22;18;72;20;20°C;Clouds
17.09.2021, 16:50:12;18;72;20;20°C;Clouds
17.09.2021, 16:55:08;18;72;20;20°C;Clouds
17.09.2021, 17:00:32;18;72;20;20°C;Clouds
17.09.2021, 17:05:06;18;72;20;20°C;Clouds
17.09.2021, 17:10:10;18;72;20;20°C;Clouds
17.09.2021, 17:15:09;18;72;20;20°C;Clouds
17.09.2021, 17:20:07;18;72;20;20°C;Clouds
17.09.2021, 17:25:06;18;72;20;20°C;Clouds
17.09.2021, 17:30:15;18;72;20;20°C;Clouds
17.09.2021, 17:35:08;18;72;20;20°C;Clouds
17.09.2021, 17:40:07;18;72;20;20°C;Clouds
17.09.2021, 17:45:10;18;72;20;20°C;Clouds
17.09.2021, 17:50:08;18;72;20;20°C;Clouds
17.09.2021, 17:55:11;18;72;20;20°C;Clouds
17.09.2021, 18:00:16;18;72;20;20°C;Clouds
17.09.2021, 18:05:08;18;72;20;20°C;Clouds
17.09.2021, 18:10:09;18;72;20;19°C;Clouds
17.09.2021, 18:15:07;18;72;20;19°C;Clouds
17.09.2021, 18:20:06;18;72;20;19°C;Clouds
17.09.2021, 18:25:09;18;72;20;19°C;Clouds
17.09.2021, 18:30:10;18;72;20;19°C;Clouds
17.09.2021, 18:35:06;18;72;20;19°C;Clouds
17.09.2021, 18:40:08;18;72;20;19°C;Clouds
17.09.2021, 18:45:07;18;72;20;19°C;Clouds
17.09.2021, 18:50:06;18;72;20;19°C;Clouds
17.09.2021, 18:55:06;18;72;20;19°C;Clouds
17.09.2021, 19:00:06;18;72;20;19°C;Clouds
17.09.2021, 19:05:06;18;72;20;19°C;Clouds
17.09.2021, 19:10:07;18;72;20;18°C;Clouds
17.09.2021, 19:15:07;18;72;20;18°C;Clouds
17.09.2021, 19:20:06;18;72;20;18°C;Clouds
17.09.2021, 19:25:07;18;72;20;18°C;Clouds
17.09.2021, 19:30:07;18;72;20;18°C;Clouds
17.09.2021, 19:35:07;18;72;20;16°C;Clouds
17.09.2021, 19:40:07;18;72;20;16°C;Clouds
17.09.2021, 19:45:08;18;72;20;16°C;Clouds
17.09.2021, 19:50:07;18;72;20;16°C;Clouds
17.09.2021, 19:55:06;18;72;20;16°C;Clouds
17.09.2021, 20:00:50;18;72;20;16°C;Clouds
17.09.2021, 20:05:08;18;72;20;16°C;Clouds
17.09.2021, 20:10:07;18;72;20;16°C;Clouds
17.09.2021, 20:15:08;18;72;20;16°C;Clouds
17.09.2021, 20:20:08;18;72;20;16°C;Clouds
17.09.2021, 20:25:07;18;72;20;16°C;Clouds
17.09.2021, 20:30:34;18;72;20;16°C;Clouds
17.09.2021, 20:35:07;18;72;20;15°C;Clouds
17.09.2021, 20:40:09;18;72;20;15°C;Clouds
17.09.2021, 20:45:08;18;72;20;15°C;Clouds
17.09.2021, 20:50:07;18;72;20;15°C;Clouds
17.09.2021, 20:55:07;18;72;20;15°C;Clouds
